id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
beam-2,0.00582067,305411694,9.75999,0.00586802,0.00524338,0.04416304,0.00429024,03-07-2025 00-49-17
bybit-staked-sol,165.77,305081533,3.58452,167.33,158.63,308.6,103.09,03-07-2025 00-49-17
superfarm,0.6734,303580594,10.5143,0.680252,0.607627,4.74,0.070397,03-07-2025 00-49-17
ronin,0.459981,303117175,6.78914,0.460554,0.42906,4.45,0.196601,03-07-2025 00-49-17
trip,10.22,301453886,1.66228,10.28,10.0,10.35,4.92,03-07-2025 00-49-17
cheems-token,1.46e-06,297621041,0.85852,1.47e-06,1.44e-06,2.16e-06,5.725e-09,03-07-2025 00-49-17
gnosis,112.3,296719276,5.33902,112.48,105.36,644.2,6.88,03-07-2025 00-49-17
trust-wallet-token,0.704455,293539884,3.97185,0.708909,0.674448,2.72,0.00277641,03-07-2025 00-49-17
abtc,109302.0,293536290,3.15827,109345.0,104357.0,112862.0,60786.0,03-07-2025 00-49-17
wrapped-avax,18.67,293353812,8.98232,18.75,16.98,2000.68,7.91,03-07-2025 00-49-17
zebec-network,0.0033868,292210751,2.06229,0.00344845,0.0032267,0.00700261,0.00069854,03-07-2025 00-49-17
plume,0.113908,289300771,27.01618,0.122622,0.088538,0.247537,0.075937,03-07-2025 00-49-17
amp-token,0.00341217,287411342,3.38702,0.00341338,0.00321699,0.120813,0.00140933,03-07-2025 00-49-17
akash-network,1.05,284839112,5.80529,1.06,0.985383,8.07,0.164994,03-07-2025 00-49-17
openeden-open-dollar,1.001,280849607,0.01796,1.01,1.001,2.97,0.993904,03-07-2025 00-49-17
aethir,0.0280883,278085920,3.12408,0.0286299,0.02611776,0.118536,0.02439678,03-07-2025 00-49-17
matic-network,0.189148,276114408,5.86561,0.189147,0.17577,2.92,0.00314376,03-07-2025 00-49-17
pumpbtc,106290.0,275571882,7.59045,106283.0,97607.0,109781.0,48890.0,03-07-2025 00-49-17
eutbl,1.22,275303545,0.18757,1.22,1.22,1.22,1.011,03-07-2025 00-49-17
keeta,0.679834,274547277,23.09151,0.753938,0.526376,1.68,0.0068199,03-07-2025 00-49-17
compounding-open-dollar,1.028,274394345,0.8489,1.028,1.019,1.038,0.985919,03-07-2025 00-49-17
creditcoin-2,0.603853,274276448,6.58824,0.605925,0.563754,8.67,0.128298,03-07-2025 00-49-17
compound-wrapped-btc,2196.29,272389811,3.31905,2200.78,2113.48,2247.69,91.15,03-07-2025 00-49-17
decred,15.66,264355558,7.18292,15.71,14.54,247.35,0.43154,03-07-2025 00-49-17
btse-token,1.63,264079392,0.933,1.63,1.61,9.21,0.369569,03-07-2025 00-49-17
livepeer,6.26,263337555,4.90409,6.31,5.91,99.03,0.354051,03-07-2025 00-49-17
treehouse-eth,3115.99,259889918,6.53767,3119.97,2891.29,4837.52,1683.91,03-07-2025 00-49-17
turbo,0.00372639,257600562,9.2097,0.00373381,0.00334353,0.01431669,6.518e-05,03-07-2025 00-49-17
